========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
         ciprofloxacin  CiproH_zwi→Cipro_ani   +0     206.80     8.740      8.662  1.055   -0.078
           citric_acid   H3Citrate→H2Citrate   +0     207.01     3.130      3.769  0.896   +0.639
           citric_acid  H2Citrate_→HCitrate_   -1     200.92     4.760      4.823  1.063   +0.063
           citric_acid  HCitrate_2→Citrate_3   -2     218.65     6.400      6.409  1.063   +0.009
            creatinine  Creatinine→Creatinin   +0     218.68     4.830      5.056  1.063   +0.226
       cyclohexylamine  Cyclohexyl→Cyclohexy   +1     208.04    10.640     10.740  0.977   +0.100
            cysteamine  Cysteammon→Cysteamin   +1     205.62     8.270      8.880  0.877   +0.610
            cysteamine  Cysteamine→Cysteamin   +0     215.15    10.750     10.588  0.874   -0.162
              cysteine  Cysteine_z→Cysteinat   +0     210.04     8.140      8.415  0.927   +0.275
              cytosine   H2Cytosine→Cytosine   +1     204.97     4.600      4.933  1.002   +0.333
              cytosine    Cytosine→Cytosinat   +0     214.92    12.160     11.810  1.005   -0.350
   dichloroacetic_acid  Dichloroac→Dichloroa   +0     202.55     1.480      1.846  0.846   +0.366
            diclofenac  Diclofenac→Diclofena   +0     207.27     4.150      3.869  0.814   -0.281
          diethylamine  DiEtAmmoni→DiEtAmine   +1     209.28    10.930     10.886  0.800   -0.044
   difluoroacetic_acid           DFA→DFA_ani   +0     201.95     1.240      1.292  0.874   +0.052
         dimethylamine  Dimethylam→Dimethyla   +1     208.78    10.731     10.741  0.854   +0.010
              dopamine  DopamineH_→Dopamine_   +1     207.21     8.930      9.161  0.846   +0.231
              dopamine  Dopamine_n→Dopamine_   +0     213.21    10.360      9.748  0.866   -0.612
              dopamine  Dopamine_m→Dopamine_   -1     228.04    13.100     13.040  1.021   -0.060
           ethanethiol  Ethanethio→Ethanethi   +0     215.34    10.610     10.497  0.823   -0.113
            ethylamine  Ethylammon→Ethylamin   +1     207.89    10.636     10.514  0.816   -0.122
       ethylenediamine    H2en2plus→Hen1plus   +2     203.12     6.850      6.733  1.049   -0.117
     fluoroacetic_acid  Fluoroacet→Fluoroace   +0     205.85     2.590      3.148  0.808   +0.558
            fluoxetine  Fluoxetine→Fluoxetin   +1     207.74    10.050      9.682  0.921   -0.368
           formic_acid  FormicAcid→Formate_H   +0     207.79     3.751      3.698  0.957   -0.053
            furosemide  Furosemide→Furosemid   +0     205.11     3.800      3.765  1.017   -0.035
            furosemide  Furosemide→Furosemid   -1     218.22     9.900      9.760  1.044   -0.140
         glutamic_acid  H3Glu_cati→H2Glu_zwi   +1     200.79     2.100      2.205  0.777   +0.105
         glutamic_acid  H2Glu_zwit→HGlu_anio   +0     205.47     4.070      4.339  0.951   +0.269
